学号,姓名,出生日期,性别,成绩
5043201,曹操,1981/1/1,男,95
5043202,孙权,2001/1/1,男,92
5043203,刘备,1991/1/1,男,93
5043204,诸葛亮,2000/1/1,男,90
5043205,司马懿,1998/1/1,男,88
5043206,孙尚香,2002/1/1,女,89
5043207,大乔,2005/1/1,女,
5043208,张飞,1999/1/1,男,82
5043209,关羽,1997/1/1,男,85
5043210,马超,2001/1/1,男,88
5043211,赵云,2002/1/1,男,74
5043212,貂蝉,1978/1/1,女,85
5043213,贾诩,1999/1/1,男,93
5043214,郭嘉,2000/1/1,男,99
5043215,荀攸,2001/1/1,男,79
5043216,周瑜,1999/1/1,男,
5043217,鲁肃,2002/1/1,男,82
5043218,陆逊,2010/1/1,男,87
5043219,吕蒙,2011/1/1,男,91
5043220,庞统,2000/1/1,男,86
